Type, Spatial_Freq
Human,LSF
Human,BSF
Human,LSF
Human,BSF
Human,HSF
Human,BSF
Human,BSF
Human,LSF
Human,BSF
Human,HSF
Human,HSF
Human,BSF
Human,HSF
Human,BSF
Human,LSF
Human,LSF
Human,HSF
Human,BSF
Human,LSF
Human,HSF
Human,BSF
Human,LSF
Human,HSF
Human,LSF
Human,HSF
Human,HSF
Human,BSF
Human,HSF
Human,LSF
Human,LSF
Human,HSF
Human,HSF
Human,LSF
Human,HSF
Human,BSF
Human,HSF
Human,LSF
Human,LSF
Human,HSF
Human,BSF
Human,BSF
Human,LSF
Human,HSF
Human,HSF
Human,BSF
Human,LSF
Human,LSF
Human,BSF
Human,BSF
Human,LSF
Human,BSF
Human,LSF
Human,HSF
Human,HSF
Human,BSF
Human,LSF
Human,HSF
Human,LSF
Human,HSF
Human,BSF
Human,BSF
Human,LSF
Human,BSF
Human,LSF
Human,HSF
Human,LSF
Human,BSF
Human,LSF
Human,HSF
Human,BSF
Human,BSF
Human,HSF
